Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
Tiago Aguiar Faria,PIN,21,13.5,6.1,1.9,4.9,0.382,0.9,2.3,0.375,1.5,1.8,0.865,0.4,0.8,1.2,1.5,0.3,0,0.9,0.9,Brazilian NBB,PG
Gustavo de de Oliveira,VAS,23,26.3,5.4,1.7,5.2,0.317,1.1,3.7,0.306,1,1.2,0.815,0.6,2.2,2.7,2,1,0,0.7,2.2,Brazilian NBB,PG
Martin Cabrera,BAU,18,13,4.9,1.4,3,0.481,0.4,1.3,0.333,1.6,1.9,0.8,0.3,1.4,1.7,1.9,0.6,0,0.8,1.7,Brazilian NBB,PG
Vithor Lersch,FAC,25,19.3,4.3,1.6,3.7,0.435,0.6,1.6,0.41,0.5,0.7,0.667,0.5,2.3,2.8,4.4,1,0.1,1.7,1.8,Brazilian NBB,PG
Vinicius Ferreira,PAU,22,18.5,3.3,1.1,4.1,0.278,0.5,2.1,0.239,0.5,0.9,0.55,0.2,1.1,1.4,2,0.6,0,1.5,1.8,Brazilian NBB,PG
Gabriel Santos,CAX,15,16.3,2.6,0.9,3,0.289,0.3,1.7,0.154,0.6,1,0.6,0.4,1.5,1.9,1.8,0.9,0.1,0.9,1.9,Brazilian NBB,PG
Elias Oliveira,CAX,18,11.4,2.6,0.8,2.3,0.341,0.2,0.9,0.235,0.8,1.1,0.7,0.3,0.7,1,0.9,0.8,0.1,0.6,1.2,Brazilian NBB,PG
Kevin Rafael dos Santos,VAS,17,2.7,0.8,0.2,0.8,0.308,0.1,0.3,0.2,0.2,0.5,0.5,0.1,0.4,0.5,0.3,0.4,0,0.1,0.5,Brazilian NBB,PG
Leo Abreu,PAU,10,7.2,0.7,0.3,0.9,0.333,0,0.4,0,0.1,0.8,0.125,0.3,0.5,0.8,0.9,0.3,0,0.4,0.7,Brazilian NBB,PG
Matheus Leoni Oliveira,FLA,10,6,0.4,0.1,1.2,0.083,0,0.5,0,0.2,0.2,1,0,0.3,0.3,0.5,0.6,0,0.5,0.9,Brazilian NBB,PG
Lucas Cardoso,FAC,11,1.5,0.3,0.1,0.4,0.25,0.1,0.3,0.333,0,0,0,0,0.1,0.1,0.2,0,0,0.5,0.3,Brazilian NBB,PG
Lucas Lacerda,MOG,22,31,15.6,5.1,11,0.465,2.1,5.4,0.395,3.3,4.1,0.791,0.3,2.2,2.5,5.2,0.8,0.1,1.9,2.1,Brazilian NBB,SG
Dexter McClanahan,CEA,24,29.9,15.4,5.1,11.6,0.441,1.4,4.1,0.347,3.7,5.2,0.718,0.6,2.7,3.3,2.1,0.9,0.3,1.8,2.8,Brazilian NBB,SG
Christian Alaekwe,BRA,23,32.8,14.9,5.4,14,0.388,2.3,6.4,0.351,1.8,2.6,0.695,0.6,3.5,4.1,1.5,1.1,0.3,2.3,2.5,Brazilian NBB,SG
Luciano Gonzalez,MIN,24,25.6,14.7,4.8,10,0.481,1.5,4,0.389,3.6,4.3,0.843,0.5,2.7,3.3,3.3,0.7,0.1,1.5,1.7,Brazilian NBB,SG
Jimmy de Oliveira,PIN,23,32.5,13.9,5.4,10.8,0.498,2,4.7,0.422,1.1,1.4,0.813,0.8,3.1,3.9,2,1.2,0,1.7,2.8,Brazilian NBB,SG
Elyjah Clark,CORI,15,26,13.9,4.7,11.3,0.412,2.1,5.4,0.395,2.4,2.7,0.878,0.9,2.2,3.1,2.1,0.9,0.3,1.5,2.2,Brazilian NBB,SG
Matheus Silva,VAS,23,25.5,13.6,4.3,10.4,0.413,1.6,5,0.313,3.4,4.5,0.76,0.7,2.3,2.9,3.4,1.2,0,2.9,3.2,Brazilian NBB,SG
Pedro Chourio,SAO,23,28.9,13,5.1,11.6,0.44,1.5,5,0.304,1.3,1.7,0.795,0.8,2.6,3.4,2.3,1.5,0.1,2.3,2.7,Brazilian NBB,SG
Radovan Djokovic,UNIA,24,31.7,13,3.9,10.5,0.368,2.3,6.1,0.37,3,3.9,0.777,0.2,3,3.2,5.5,1,0.2,2.5,2,Brazilian NBB,SG
Trevor Gaskins,FAC,24,28.6,12.8,4.1,8.9,0.463,2.5,5.8,0.432,2.1,2.8,0.746,0.5,2.6,3.1,2.5,0.8,0.1,1.5,2,Brazilian NBB,SG
Gui Pereira,FLA,24,27.1,12.3,4.5,9.1,0.495,2,5.1,0.402,1.2,1.3,0.906,0.6,2,2.6,2.4,1.3,0.2,1.6,1.9,Brazilian NBB,SG
Kevin Crescenzi,PAU,22,26.1,11.8,4.2,9.7,0.43,1.3,4.5,0.29,2.1,2.8,0.758,0.8,3,3.8,3.2,1.1,0.2,2.5,1.6,Brazilian NBB,SG
Grantham Gillard,CER,9,21.6,11.3,3.4,9.2,0.373,1.7,4.3,0.385,2.8,4.4,0.625,0.8,3.8,4.6,1.1,1,0.1,1.2,1.6,Brazilian NBB,SG
Sebastian Orresta,CEA,24,28.6,11.2,3.9,6.9,0.57,0.7,2.2,0.308,2.7,3.4,0.793,0.5,4,4.5,4.5,1.2,0.2,1.7,2.1,Brazilian NBB,SG
William Buford,CEA,15,26.8,10.9,3.8,8.7,0.435,1.5,4.1,0.361,1.9,2.7,0.683,0.8,3.5,4.3,1.3,0.5,0.2,1.5,2.2,Brazilian NBB,SG
Matheus Santos Neves da Silva,CER,24,27,10.5,3.8,10.5,0.36,1.3,4.7,0.283,1.6,2.3,0.709,0.8,2.8,3.5,3.4,1.5,0.2,2.4,2,Brazilian NBB,SG
Corderro Bennett,SPFC,24,34.9,9.8,3.8,7.5,0.508,0.4,1.5,0.27,1.8,2.5,0.689,0.8,2.8,3.5,2.8,1.3,0,1.6,2.5,Brazilian NBB,SG
Elinho Neto,CORI,23,31.9,9.3,3.4,9.6,0.357,1.6,5.1,0.314,0.9,1.4,0.625,0.5,4,4.4,8,1.3,0,2.4,1.3,Brazilian NBB,SG
Scott Machado,FLA,17,20.5,9.3,3.4,7.4,0.456,1.5,3.4,0.431,1.1,1.5,0.76,0.2,2.3,2.5,5,0.9,0.1,1.6,2.2,Brazilian NBB,SG
Felipe Vezaro,MIN,23,22.8,9.3,3.2,5.6,0.578,2.2,3.8,0.568,0.7,0.7,0.938,1,2.1,3.1,1.6,0.6,0,1.1,1.6,Brazilian NBB,SG
Luis Sacco,BAU,24,25.5,9,3,8.5,0.346,1.7,5.1,0.336,1.4,1.5,0.892,0.4,2,2.4,2.3,0.8,0,1.1,2.5,Brazilian NBB,SG
Enzo Ruiz,UNIA,14,23.2,8.6,2.9,7.1,0.41,1.6,4.4,0.361,1.2,1.6,0.739,1.2,1.6,2.9,2.1,0.4,0,1,2.7,Brazilian NBB,SG
Ramiro Santiago,BOT,19,19,8.2,3.1,7.7,0.401,1.5,4.9,0.309,0.5,0.6,0.818,0.3,1.7,2,1.2,0.8,0,1.1,1,Brazilian NBB,SG
Carioca Vieira,BOT,21,19.8,8,2.8,6.4,0.437,1,2.9,0.328,1.4,2,0.674,0.4,2,2.4,1.4,0.8,0.2,1.2,1.7,Brazilian NBB,SG
Martin Cuello,FLA,24,26.6,7.9,2.9,6.8,0.427,1.3,3.6,0.356,0.8,1,0.792,1,2,3,2.1,0.8,0,0.6,1,Brazilian NBB,SG
Michel de Souza,PATO,25,23.1,7,2.5,7.3,0.339,1.6,5.2,0.313,0.4,0.6,0.625,0.7,2,2.7,2.2,1.1,0.1,1.2,2.2,Brazilian NBB,SG
Deryk Ramos,BRA,23,18.9,6.3,2.7,7.1,0.384,0.2,0.9,0.19,0.7,0.8,0.842,0.5,1.6,2.1,2.6,0.6,0,1.1,1.9,Brazilian NBB,SG
Alejandro Konsztatd,CAX,23,24.5,6.1,1.7,6,0.275,0.9,3.5,0.259,1.9,2.8,0.677,0.2,1.9,2.1,3.6,1,0,1.7,2.3,Brazilian NBB,SG
Nicolas Copello,MIN,12,19.7,5.9,1.6,4.8,0.328,1,3.6,0.279,1.8,2.3,0.778,0.3,2.8,3.1,3.4,0.7,0,1.3,1.4,Brazilian NBB,SG
Guilherme Henriques Estevao,BOT,20,14.4,4.7,1.9,4.9,0.381,0.3,1.2,0.25,0.7,1,0.737,1.6,2.8,4.3,0.5,0.2,0.2,0.8,2.2,Brazilian NBB,SG
Barbosa Santana,PAU,23,18.9,4.5,1.7,4.9,0.345,0.7,2.4,0.268,0.5,0.9,0.524,0.8,2.7,3.4,1.1,1,0.3,1,2,Brazilian NBB,SG
Arthur Costa,UNIA,22,21.3,4.4,1.4,4.8,0.286,0.8,3.1,0.246,0.9,1.2,0.769,0.4,1.5,1.9,1.6,0.5,0,1.4,2.6,Brazilian NBB,SG
Luan Rodrigues de Oliveira,BOT,18,8.4,4.2,1.7,3.6,0.469,0.3,1.1,0.25,0.6,1.3,0.458,0.4,0.5,0.9,0.3,0.4,0.1,0.7,1.6,Brazilian NBB,SG
Lucas Andrade,BOT,14,8.9,3.9,1.3,3.5,0.367,0.9,1.9,0.444,0.4,0.6,0.667,0.4,0.7,1.1,0.4,0.4,0,0.1,1.1,Brazilian NBB,SG
Gabriel Campos,CORI,22,12.5,3.7,1.2,3.6,0.325,0.4,1.9,0.214,1,1.1,0.875,0.3,0.8,1.1,1.8,0.5,0,0.8,1.1,Brazilian NBB,SG
Pedro Nunes,CORI,6,15.2,3.5,1.3,2.5,0.533,0.2,1,0.167,0.7,0.8,0.8,0.8,1,1.8,0.2,0.7,0,1.2,2.3,Brazilian NBB,SG
Lucas Vieira Lopez Atauri,PAU,15,7.4,3,1,2.4,0.417,0.5,1.5,0.348,0.5,0.5,0.875,0.3,0.8,1.1,0.3,0.3,0,0.7,1.4,Brazilian NBB,SG
Luiz Mendonca,MOG,19,10.8,2.8,1,3.1,0.328,0.6,2.3,0.273,0.2,0.3,0.5,0.2,0.7,0.9,0.6,0.2,0,0.3,1.7,Brazilian NBB,SG
"Luiz Mauro Machado, Jr.",UNIA,12,7.8,2.8,0.9,2.8,0.324,0.3,1.2,0.286,0.6,1.1,0.538,0.5,0.9,1.4,0.3,0.3,0,0.3,1.3,Brazilian NBB,SG
Danilo Penteado,PATO,18,11.4,2.3,0.8,2.7,0.292,0.5,1.7,0.3,0.3,0.3,1,0.3,1.2,1.5,0.7,0.3,0,0.7,1.8,Brazilian NBB,SG
Guilherme do Carmo,BRA,12,9.8,2.3,0.8,3.1,0.243,0.3,1.8,0.136,0.5,0.6,0.857,0.3,1,1.3,0.8,0.5,0.1,1,1.5,Brazilian NBB,SG
Pedro Eduardo Infante Pereira,SAO,23,8.5,2,0.7,1.9,0.372,0.2,0.7,0.235,0.4,0.5,0.833,0.6,0.7,1.3,0.6,0.3,0,0.1,0.9,Brazilian NBB,SG
William Omena,PIN,22,8.3,1.8,0.6,1.6,0.371,0.4,1.2,0.333,0.2,0.2,1,0.3,0.4,0.7,0.6,0.2,0,0.4,0.8,Brazilian NBB,SG
Vitor Silverio Narcizio,SAO,21,7.7,1.5,0.6,1.4,0.4,0.2,0.7,0.286,0.2,0.3,0.667,0.6,0.6,1.2,0.3,0.3,0,0.3,0.5,Brazilian NBB,SG
Luis Gustavo,BRA,10,3.5,0.9,0.4,0.5,0.8,0,0,0,0.1,0.4,0.25,0.1,0.1,0.2,0.2,0,0,0.2,0.2,Brazilian NBB,SG
Isaac Thornton,BOT,18,36.5,19.9,6.7,15.8,0.421,2.2,7.6,0.287,4.4,4.7,0.929,2.1,1.9,3.9,2.4,0.9,0.1,1.7,1.3,Brazilian NBB,SF
Thomas Cooper,BRA,23,33,16.6,5.6,13.1,0.424,1.3,4.2,0.32,4.1,5.7,0.723,0.8,3.9,4.7,3.5,1.2,0,2.7,1.7,Brazilian NBB,SF
Malcolm Miller,SPFC,21,35.1,13.5,4.5,10.1,0.443,2.2,6.4,0.348,2.3,2.8,0.831,0.8,3.6,4.4,2.6,1,1.2,2,2,Brazilian NBB,SF
Shamell Stallworth,MOG,23,29,13.1,4.3,9.8,0.436,2.7,7,0.394,1.9,2.5,0.754,0.4,4,4.5,2.6,0.7,0.1,1.9,2,Brazilian NBB,SF
Guilherme Santos,CER,24,27.9,12.7,4.5,10.3,0.443,1,2.8,0.358,2.6,3.9,0.677,1.2,2.9,4.1,2,1,0,1.9,2.6,Brazilian NBB,SF
Alex Garcia,BAU,23,33.6,12.3,4.2,11.6,0.361,1.7,6.3,0.264,2.3,2.9,0.788,0.8,3.8,4.6,5.4,1.5,0.1,2.9,2.2,Brazilian NBB,SF
Didi Louzada,FLA,21,27.7,12,3.9,9,0.432,1.5,4.1,0.368,2.7,3.4,0.792,0.9,3.5,4.4,2.1,1,0,1.4,2,Brazilian NBB,SF
Matias Solanas,FAC,25,26,11.8,4.4,9.6,0.456,2,5.5,0.372,1.1,1.3,0.844,0.8,2.2,3,2.1,0.7,0.2,1.2,2,Brazilian NBB,SF
Marko Filipovity,FLA,23,24,11.2,3.5,8.3,0.421,1.4,4.7,0.308,2.8,3.7,0.762,1.3,3.3,4.7,0.8,0.4,0.1,1,1.2,Brazilian NBB,SF
Fabricio Verissimo,PATO,21,26,11.1,4.3,9,0.484,0.4,1.7,0.25,2,3.7,0.545,1.9,4,5.9,2.5,1.6,0.1,1.6,2.7,Brazilian NBB,SF
Yan Djalo Barbosa Te,PIN,17,25.5,10.9,3.4,7.9,0.422,1.9,5,0.376,2.3,3.3,0.696,1.5,2.6,4.1,0.9,0.7,0.5,1.3,2.4,Brazilian NBB,SF
Eden Ewing,CEA,24,26.4,10.2,4,7.3,0.554,0.4,1.6,0.256,1.7,3.3,0.513,1.1,3.6,4.7,1.3,0.8,0.7,2,2.4,Brazilian NBB,SF
Wesley Alves,CAX,23,25.6,9.5,3.4,9.3,0.369,1.2,4,0.297,1.4,2,0.702,1.3,1.7,3,1.4,0.8,0.1,1.7,2.3,Brazilian NBB,SF
Leonardo Lema,SAO,23,25.2,8.9,3.2,7.3,0.438,0.5,2,0.255,1.9,3.3,0.587,1.1,4.6,5.7,1.7,0.7,0.3,2,3,Brazilian NBB,SF
Wesley Ferreira,FRA,22,17,8.5,3,5.5,0.541,0.8,2,0.386,1.7,2.1,0.826,1.2,2.2,3.5,1,0.5,0.7,1.2,2,Brazilian NBB,SF
Betinho Duarte,SPFC,16,19.8,8.4,2.7,5.9,0.453,1.3,3.1,0.408,1.8,2.1,0.879,0.5,1.9,2.4,1.6,0.5,0.2,0.9,2.8,Brazilian NBB,SF
Daniel Ifedi Ferreira Onwenu,CORI,23,21.4,8.1,3.1,7.2,0.428,0.8,2.7,0.306,1.1,1.9,0.591,1.2,3.1,4.3,0.9,0.7,0.3,1,2,Brazilian NBB,SF
Rafa Oliveira,CAX,19,23.1,8,3.2,6.1,0.517,0.6,1.7,0.364,1.1,1.5,0.69,1.4,3.9,5.3,1.1,0.7,0.2,1,2.2,Brazilian NBB,SF
Eddy Carvalho,CEA,13,25.1,7.9,3.2,8,0.404,1,3.8,0.26,0.5,1,0.462,1.2,2.8,4,1.6,0.6,0,1.9,2.1,Brazilian NBB,SF
Humberto Gomes,VAS,23,29.4,7.8,2.8,7.8,0.356,1.2,4,0.293,1.1,1.9,0.581,0.9,3.2,4.1,2.6,1.4,0.3,1.6,2.3,Brazilian NBB,SF
Bruno Cardoso,PAU,23,18.2,7.3,2.7,5.3,0.516,0.1,0.9,0.143,1.7,3,0.58,1.3,3,4.3,0.7,0.5,0.6,1,2.4,Brazilian NBB,SF
Guilherme Abreu,PAU,23,21.4,7,2.3,6.6,0.349,0.3,1.9,0.136,2.1,2.7,0.778,1.6,2.8,4.3,1.4,0.7,0.5,1.3,1.6,Brazilian NBB,SF
Felipe Ruivo,PIN,23,29.7,6.9,2.2,6.3,0.354,1.2,4.4,0.267,1.3,1.7,0.789,0.5,2.8,3.3,5.8,0.7,0,1.9,1.4,Brazilian NBB,SF
Pedro Nunes,UNIA,13,28.5,6.8,2.5,5.6,0.452,0.3,1.5,0.211,1.4,2.5,0.545,1.5,3.6,5.2,1.2,1,0.1,1.2,1.6,Brazilian NBB,SF
Jhonatan dos Santos,FRA,22,25,6.6,2,5.9,0.338,1.3,4,0.33,1.3,1.5,0.875,0.5,3,3.5,1.9,0.6,0.1,1.6,2.7,Brazilian NBB,SF
Caue de Freitas,VAS,23,30.1,6.4,2.2,5.6,0.398,1.2,3.6,0.341,0.7,1.1,0.68,1.2,4.2,5.4,5.8,1.3,0.6,1.9,3.3,Brazilian NBB,SF
Larry Taylor,BAU,24,17,6.4,2.3,5.5,0.427,1.2,3.3,0.367,0.5,0.5,1,0.3,1.3,1.6,1.5,0.5,0,0.6,1.3,Brazilian NBB,SF
Emanuel Matias,BOT,23,25.8,6.3,2.5,5.6,0.45,0.4,1.7,0.225,0.8,1.1,0.731,1.4,4,5.4,2,1,0.7,1.3,2.7,Brazilian NBB,SF
Paulo Barbosa,FRA,22,17.7,5.4,2.2,4.1,0.538,0.5,1.3,0.414,0.4,0.5,0.818,0.7,1,1.8,1.5,0.5,0.2,1,1,Brazilian NBB,SF
Antonio Ferreira,FAC,18,12.9,5,1.6,4,0.389,0.3,1.5,0.222,1.6,2.3,0.683,0.8,1.5,2.3,0.9,0.6,0.2,0.4,1.2,Brazilian NBB,SF
Fernando Salsamendi,CEA,17,16.3,4.6,2,3.6,0.548,0.3,1,0.294,0.3,0.6,0.455,0.7,1.2,1.9,1,0.9,0.2,0.9,1.8,Brazilian NBB,SF
Allan Vinicius Araujo Brito,BRA,23,18.7,4.6,1.5,3.7,0.405,0.7,2,0.37,0.9,1.3,0.667,0.9,1.7,2.6,0.4,0.8,0.1,1.1,3,Brazilian NBB,SF
Isaac Goncalves,CORI,23,16.9,4.2,1.3,3.7,0.357,0.8,2.6,0.317,0.8,0.9,0.9,0.4,1.8,2.2,0.4,0.3,0,0.4,1.9,Brazilian NBB,SF
Iago Barry Mendes de Morais Gomes,MOG,23,15.5,4.2,1.5,3.7,0.395,0.7,2,0.326,0.6,0.7,0.813,0.4,0.8,1.3,0.3,0.3,0.1,0.9,2.2,Brazilian NBB,SF
Gabriel Fernandes,CEA,15,11.3,4.1,1.3,2.5,0.5,0.9,1.8,0.481,0.7,0.8,0.833,0.3,0.9,1.1,0.3,0.1,0,0.3,1.5,Brazilian NBB,SF
Nathan Mariano,FRA,15,9.8,3.9,1.3,2.3,0.571,0.5,1.3,0.421,0.7,1,0.733,0.3,1.2,1.5,0.3,0.1,0.2,0.4,0.9,Brazilian NBB,SF
Fabricio Russo,VAS,23,9.6,3.5,1.1,2.8,0.4,0.9,2.3,0.377,0.4,0.7,0.6,0.3,1.2,1.5,0.9,0.1,0,0.7,1.1,Brazilian NBB,SF
Alex Doria,PAU,20,10.6,2.7,1.1,2.6,0.404,0,0.1,0,0.6,1.2,0.522,1.2,1.1,2.2,0.6,0.7,0.2,0.8,2,Brazilian NBB,SF
Jonathan Cristian Gomes da Costa,CER,17,12.1,2.6,0.9,1.9,0.455,0,0.4,0,0.8,1.7,0.483,1.4,1.8,3.2,0.5,0.5,0,0.7,1.1,Brazilian NBB,SF
Victor Hugo dos Santos Roussenq,MOG,20,7.8,2,0.7,1.8,0.371,0.3,1,0.316,0.4,0.8,0.438,0.2,0.8,0.9,0.8,0.2,0,0.8,1.5,Brazilian NBB,SF
Felipe Motta,FLA,10,6.5,1.9,0.7,1.6,0.438,0.2,0.6,0.333,0.3,0.7,0.429,0.4,0.7,1.1,0.5,0.2,0,0.5,0.5,Brazilian NBB,SF
Gustavo Pereira Luiz,MOG,12,6,1.6,0.6,1.8,0.333,0.2,1,0.167,0.3,0.5,0.5,0.5,0.3,0.8,0.2,0,0,0,0.8,Brazilian NBB,SF
Kauan Nascimento Raymundo,CORI,19,6.4,1.4,0.5,1.2,0.409,0,0.2,0,0.4,0.7,0.571,0.7,1,1.7,0,0.1,0.7,0.5,0.9,Brazilian NBB,SF
Gabriel Landeira,CORI,16,5.4,1.1,0.4,1.3,0.35,0.2,0.7,0.273,0,0,0,0.3,0.7,0.9,0.5,0.3,0,0.4,1,Brazilian NBB,SF
Lucas Dias,FRA,22,32.9,20.3,7.5,14.5,0.516,2.3,6,0.383,3.1,3.8,0.81,2.1,4.7,6.8,3.2,1.3,0.6,2,2,Brazilian NBB,PF
Gabriel Jau Galvanini,FLA,23,25,14,4.9,9,0.541,0.6,1.9,0.295,3.7,5.2,0.723,2.4,4.6,7,1.5,0.9,0.5,2,2.7,Brazilian NBB,PF
Paulo Da Costa,BRA,22,33.2,13.8,5.1,11.1,0.459,2.2,5.9,0.377,1.4,1.8,0.75,1.3,4.5,5.7,1.5,1.4,0.5,1.8,2,Brazilian NBB,PF
Marquinhos Vinicius,VAS,21,24.1,13.8,4.4,10.3,0.429,1.6,4.7,0.347,3.3,3.8,0.863,0.3,3.3,3.6,2.1,0.7,0.2,1.8,1.9,Brazilian NBB,PF
Duane Johnson,UNIA,23,33.4,13.6,4.9,10.8,0.454,0.5,2.2,0.22,3.3,4.1,0.789,2.1,4.9,7,2.9,1.4,0.3,1.6,2.6,Brazilian NBB,PF
Leonardo Demetrio,CORI,21,25.5,11.8,4.6,9.8,0.473,1.1,4,0.286,1.4,2.4,0.588,2.2,4.9,7.1,0.6,0.4,0.1,1.1,2.1,Brazilian NBB,PF
Kendall Stephens,UNIA,24,26.4,11.6,3.8,10,0.382,2.6,7.3,0.358,1.3,1.5,0.861,0.5,3.1,3.6,0.7,0.7,0.2,1.3,1.8,Brazilian NBB,PF
Eduardo Sommer,PATO,24,27.7,11.3,4.4,8.4,0.527,0.8,2.7,0.297,1.6,2.6,0.629,1.8,3.3,5.2,1.4,0.5,0.2,1.3,3.1,Brazilian NBB,PF
Jeremy Hollowell,BAU,11,22.8,11,4.5,9,0.505,1.2,2.9,0.406,0.7,1.2,0.615,2.3,3.6,5.9,1.4,0.7,0.7,1.1,2.5,Brazilian NBB,PF
Douglas Santos,SAO,21,23,10.9,4.1,7.7,0.537,0.8,2,0.395,1.8,2.6,0.673,1,4,5,0.8,0.9,0.7,1.5,3,Brazilian NBB,PF
Tyrone Curnell,SPFC,20,23.7,10.6,3.4,8,0.425,0.9,3.8,0.24,2.9,3.8,0.763,1.1,3.4,4.5,2,0.9,0.4,2.4,2.9,Brazilian NBB,PF
Alexandre Paranhos,MIN,21,21.9,10.3,4.1,8.1,0.509,0,0,0,2,3.4,0.597,2.3,5.4,7.8,1.3,0.7,0.4,1.6,2.4,Brazilian NBB,PF
Diego Conceicao,CAX,23,25.1,10.3,3.1,7.7,0.409,0.6,2,0.277,3.4,4.2,0.823,2,3.6,5.6,1.3,1,0.4,2,2.8,Brazilian NBB,PF
Daniel Von Haydin,CER,24,25.8,9.9,3.5,8.1,0.433,2.1,5.7,0.365,0.8,1.4,0.606,0.5,2.7,3.2,2.5,1,0.1,1.1,1.2,Brazilian NBB,PF
Lucas Doria,PAU,23,22,9.8,4.2,7.6,0.549,0.1,0.4,0.2,1.4,1.9,0.727,2.2,3.4,5.6,1.3,1.4,0.2,1.5,2.6,Brazilian NBB,PF
Jamison Costa,UNIA,22,23.3,9.7,3.8,8,0.472,1,2.8,0.355,1.1,1.8,0.641,1.3,2.5,3.7,1.2,1,0.3,1.5,2.9,Brazilian NBB,PF
Renan Santos Lenz,MIN,24,19.2,9.5,3.6,7,0.509,1.7,4.5,0.383,0.7,0.8,0.8,1.3,3,4.3,1.2,0.2,0.8,0.6,1.7,Brazilian NBB,PF
Felipe Queiroz Araujo,CEA,24,27.5,9.5,3.2,7.3,0.432,1.6,4.5,0.361,1.5,2.1,0.706,0.8,3.6,4.5,1.2,0.5,0.1,1.3,2.4,Brazilian NBB,PF
Victor Leal,SAO,15,19.6,9.3,3.9,7.2,0.537,0,0,0,1.5,3.3,0.469,1.8,3.5,5.3,0.9,0.4,0.3,1.9,2.6,Brazilian NBB,PF
Federico Aguerre,PIN,23,27.6,9.2,3,7.6,0.389,1.7,4.7,0.374,1.6,2,0.766,0.8,4.6,5.4,2.3,0.4,0.7,1.6,2,Brazilian NBB,PF
Jose Materan,PATO,25,26.2,9,3.1,8.2,0.377,1.8,5.5,0.336,1,1.4,0.722,0.7,3.9,4.6,1.8,0.6,0.1,1.6,2.3,Brazilian NBB,PF
David Nesbitt,FAC,25,18.1,9,3.5,6.7,0.524,0.2,1.2,0.207,1.7,2.2,0.764,2,2.2,4.1,0.4,0.4,0.2,1.1,2.3,Brazilian NBB,PF
Andre Bresolin,FAC,24,24.1,8.7,3,7.4,0.399,1.1,4.3,0.265,1.6,1.9,0.848,0.5,2.8,3.2,2.4,1.2,0.2,1.5,1.6,Brazilian NBB,PF
Guilherme Hubner,FAC,25,19.7,8.6,3.4,6.1,0.562,0.5,1.9,0.277,1.2,1.7,0.698,1.6,3.8,5.3,0.7,0.4,0.4,1.1,2.2,Brazilian NBB,PF
Lisandro Rasio,PIN,11,20.5,8.5,3.3,6.2,0.529,0.4,1.2,0.308,1.6,3,0.545,2.1,4.2,6.3,2.3,0.8,0.1,1.9,1.5,Brazilian NBB,PF
Lucas Siewert,SPFC,24,26.4,7.8,2.7,7,0.389,1.7,4.3,0.385,0.7,0.8,0.8,1.6,3.2,4.8,0.8,0.5,0.5,0.5,2,Brazilian NBB,PF
Vinicius Nascimento Chagas,CAX,23,18.2,7.4,3.1,6.3,0.5,0.5,1.5,0.324,0.7,1.1,0.6,1.6,2.8,4.4,0.7,0.5,0.5,1.2,2.2,Brazilian NBB,PF
Art Bernardi,SAO,23,17.6,7.2,2.4,5.4,0.452,1,2.3,0.407,1.3,1.8,0.738,0.7,2.2,2.8,0.7,0.4,0.1,0.9,1.3,Brazilian NBB,PF
Gemerson Barbosa,MIN,20,15.9,6.6,2.4,5.2,0.452,1,2.5,0.4,0.9,1.4,0.667,1.1,1.8,2.9,0.7,0.2,0,1.2,2.8,Brazilian NBB,PF
Chris Ware,MOG,20,16.7,6.5,2.3,5.4,0.43,1.2,3.1,0.387,0.7,0.8,0.875,0.9,2.5,3.3,0.6,0.2,0.2,1.1,1.8,Brazilian NBB,PF
Kayo Goncalves,FLA,10,15.2,6,2,5,0.4,1.3,3.7,0.351,0.7,0.9,0.778,1.1,1.6,2.7,0.3,0,0.3,0.7,2.2,Brazilian NBB,PF
Josuel Lukas Santos,MOG,23,18.5,6,2.5,5.3,0.475,0.3,0.9,0.333,0.6,1,0.609,1.1,1.3,2.4,0.9,0.3,0.4,1,2.5,Brazilian NBB,PF
Andre Coimbra,UNIA,18,14.5,5.8,2.4,4.2,0.573,0.1,0.4,0.125,1,1.6,0.621,0.6,1.7,2.3,0.8,0.4,0.3,2.1,3,Brazilian NBB,PF
Pedro da Silva,BAU,23,22.1,5.7,1.9,5.5,0.349,1.1,3.9,0.292,0.8,1,0.783,0.5,2.7,3.2,1.6,1,0.1,0.9,2.4,Brazilian NBB,PF
Vinicius Malachias,UNIA,24,17,5.6,2.3,5.3,0.437,0.1,0.4,0.2,1,1.3,0.719,1,2.3,3.3,0.7,0.2,0.5,0.9,2.7,Brazilian NBB,PF
Vinicius Pastor,MOG,22,19.6,5.3,2,5,0.404,0.8,2.7,0.305,0.5,0.5,0.833,0.9,2.6,3.5,1.1,0.5,0,0.7,2.2,Brazilian NBB,PF
Magna Silva,PATO,25,15.4,5.1,1.8,4.5,0.411,0.5,2.2,0.222,1,1.2,0.8,0.5,1.7,2.2,0.6,0.3,0,0.8,1.9,Brazilian NBB,PF
Agapy Santos,PIN,23,13.5,4.9,1.8,3.5,0.519,0,0.1,0,1.3,2,0.617,2,2.5,4.5,0.2,0.2,0.4,0.8,2.2,Brazilian NBB,PF
Tiago Dias,CER,24,19,4.4,1.8,4.9,0.373,0.7,2.6,0.258,0.1,0.2,0.4,0.7,2.3,3,0.5,0.3,0.2,0.6,1.7,Brazilian NBB,PF
