Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
Andrea Zerini,TORT,12,14.7,2,0.7,1.5,0.444,0.4,1.1,0.385,0.3,0.4,0.6,0.4,1,1.4,0.6,0.3,0.6,0.6,2.7,Italian Lega Basket,SF
Luca Conti,TREN,12,8,0.7,0.3,1.7,0.2,0,0.4,0,0,0,0,0.3,0.9,1.3,0.1,0.1,0,0.3,1.1,Italian Lega Basket,SF
Kevin Hervey,REG,18,25.6,15.7,5.6,12.7,0.437,2.3,5.7,0.398,2.3,2.8,0.82,1.5,3.9,5.4,1.4,1.3,0.5,1.7,2.4,Italian Lega Basket,PF
Tornike Shengelia,BOL,15,24.4,15.3,5.4,9.7,0.559,0.6,1.4,0.429,3.9,4.9,0.808,1.7,3.8,5.5,3.5,0.7,0.1,2.8,2.2,Italian Lega Basket,PF
Mike Daum,TORT,9,27,14.1,5.3,10.4,0.511,1.6,4.6,0.341,1.9,2.3,0.81,1.4,5.7,7.1,1.2,0.7,0.3,0.8,1.3,Italian Lega Basket,PF
Andrejs Grazulis,TREN,19,24.7,13.7,5.4,9.9,0.548,2.2,4.9,0.447,0.7,1.1,0.65,1.7,2.9,4.6,1.1,0.5,1.2,1.2,1.8,Italian Lega Basket,PF
Kruize Pinkins,SCAF,16,28.1,12.8,3.9,6.8,0.574,0.8,1.8,0.429,4.3,5.6,0.767,1.6,4.8,6.4,1.4,0.4,0.3,1.7,2.7,Italian Lega Basket,PF
Gabe Brown,VAR,19,30.2,12,4.3,8.6,0.494,2.4,5.8,0.405,1.1,1.4,0.808,0.9,5,5.9,0.9,0.3,0.3,1.6,2.3,Italian Lega Basket,PF
Kyle Wiltjer,VEN,18,21.9,12,4.3,9.6,0.448,1.8,5.1,0.363,1.6,2.2,0.744,0.7,3.2,3.9,1.3,0.3,0.1,1.5,1.9,Italian Lega Basket,PF
Jordan Mickey,BOL,12,18.5,11.3,4.4,8.1,0.546,0.5,1.6,0.316,1.9,2.3,0.821,1.9,3.5,5.4,1.7,0.6,0.3,1.3,1.3,Italian Lega Basket,PF
