name,img_url,age,height,weight,nationality
Daniel Diez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Diez_Daniel_ACB.jpg,30,6-8,216,Spain
Jordi Rodriguez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,19,6-6,197,Spain
Sander Raieste,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Raieste_Sander_euro21.jpg,24,6-8,210,Estonia
Edgar Vicedo,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Vicedo_Edgar_ACB.jpg,29,6-8,200,Spain
Kwan Cheatham,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Cheatham_Kwan_ncaaak.jpg,28,6-10,235,United States
Mitchell Watt,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Watt_Mitchell_ncaa_buf.jpg,34,6-10,225,United States
Sacha Killeya-Jones,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Killeyajones_Sacha_uk1617.jpg,25,6-11,220,United States/England
Guerschon Yabusele,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Yabusele_Guerschon_bos_18.jpg,28,6-8,260,France
Jabari Parker,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Parker_Jabari_bos21.jpg,28,6-8,245,United States
Tres Tinkle,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Tinkle_Tres_osu.jpg,27,6-7,225,United States
Gyorgy Goloman,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Golomon_Gyorgy_ucla.jpg,27,6-11,225,Hungary
Juan Francisco,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Fernandez_Juanfrancisco_21.jpg,21,6-10,218,Argentina
Tim Abromaitis,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Abromaitis_Tim_ncaa_nd.jpg,34,6-8,236,United States
Dustin Sleva,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Sleva_Dustin_21.jpg,28,6-8,224,United States
John Shurna,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Shurna_John_NYK.jpg,33,6-9,215,United States
